year,week,injury_type,game_status
2016,1,Foot,Questionable
2016,1,Knee,Questionable
2016,1,Knee,Out
2016,1,Knee,Questionable
2016,1,Hamstring,Questionable
2016,1,Knee,Out
2016,1,Ankle,Questionable
2016,1,Knee,Out
2016,1,Foot,Out
2016,1,Finger,Questionable
2016,1,Ankle,Out
2016,1,Shoulder,Questionable
2016,1,Knee,Questionable
2016,1,Foot,Questionable
2016,1,Foot,Out
2016,1,Rib,Questionable
2016,1,Shoulder,Questionable
2016,1,Hamstring,Out
2016,1,Rib,Questionable
2016,1,Hand,Questionable
2016,1,Back,Questionable
2016,1,Hamstring,Doubtful
2016,1,Shoulder,Questionable
2016,1,Hamstring,Questionable
2016,1,Groin,Questionable
2016,1,Knee,Questionable
2016,1,Wrist,Questionable
2016,1,Shoulder,Questionable
2016,1,Knee,Questionable
2016,1,Ankle,Questionable
2016,1,Hamstring,Questionable
2016,1,Ankle,Doubtful
2016,1,Ankle,Out
2016,1,Groin,Out
2016,1,Groin,Questionable
2016,1,Achilles,Out
2016,1,Back,Out
2016,1,Back,Out
2016,1,Knee,Questionable
2016,1,Elbow,Out
2016,1,Ankle,Questionable
2016,1,Elbow,Questionable
2016,1,Ankle,Questionable
2016,1,Toe,Questionable
2016,1,Ankle,Questionable
2016,1,Ankle,Questionable
2016,1,Hamstring,Doubtful
2016,1,Shoulder,Doubtful
2016,1,Hamstring,Doubtful
2016,1,Hamstring,Out
2016,1,Hand,Questionable
2016,1,Knee,Questionable
2016,1,Knee,Out
2016,1,Knee,Out
2016,1,Ankle,Out
2016,1,Ankle,Out
2016,1,Foot,Out
2016,1,Ankle,Questionable
2016,1,Knee,Questionable
2016,1,Hamstring,Questionable
2016,1,Calf,Questionable
2016,1,Jaw,Questionable
2016,1,Knee,Doubtful
2016,1,Shoulder,Out
2016,1,Thigh,Out
2016,1,Concussion,Questionable
2016,1,Foot,Questionable
2016,1,Knee,Out
2016,1,Knee,Questionable
2016,1,Knee,Questionable
2016,1,Calf,Questionable
2016,1,Hamstring,Questionable
2016,1,Hamstring,Questionable
2016,1,Hip,Out
2016,1,Knee,Questionable
2016,1,Ankle,Out
2016,1,Quadricep,Questionable
2016,1,Foot,Questionable
2016,1,Knee,Out
2016,1,Foot,Questionable
2016,1,Shoulder,Questionable
2016,1,Hamstring,Questionable
2016,1,Shoulder,Questionable
2016,1,Hand,Questionable
2016,1,Shoulder,Questionable
2016,1,Elbow,Questionable
2016,1,Hamstring,Questionable
2016,1,Knee,Questionable
2016,1,Quadricep,Out
2016,1,Head,Questionable
2016,1,Ankle,Questionable
2016,1,Illness,Out
2016,1,Shoulder,Questionable
2016,1,Shoulder,Questionable
2016,1,Calf,Doubtful
2016,1,Shoulder,Out
2016,1,Foot,Out
2016,1,Ankle,Out
2016,1,Calf,Questionable
2016,1,Knee,Questionable
2016,1,Knee,Out
2016,1,Foot,Out
2016,1,Back,Out
2016,1,Knee,Out
2016,1,Shoulder,Out
2016,1,Shoulder,Questionable
2016,1,Knee,Questionable
